A	Alimentary tract and metabolism
J01DE02	Cefpirome
J01DE03	Cefozopran
J01DF	Monobactams
J01DF01	Aztreonam
J01DF02	Carumonam
J01DH	Carbapenems
J01DH02	Meropenem
J01DH03	Ertapenem
J01DH04	Doripenem
J01DH05	Biapenem
J01DH51	Imipenem and cilastatin
J01DH52	Meropenem and vaborbactam
J01DI	Other cephalosporins and penems
J01DI01	Ceftobiprole medocaril
J01DI02	Ceftaroline fosamil
J01DI03	Faropenem
J01E	Sulfonamides and trimethoprim
J01EA	Trimethoprim and derivatives
J01EA02	Brodimoprim
J01EA03	Iclaprim
J01EB	Short-acting sulfonamides
J01EB01	Sulfaisodimidine
J01EB02	Sulfamethizole
J01EB03	Sulfadimidine
J01EB05	Sulfafurazole
J01EB07	Sulfathiazole
J01EB08	Sulfathiourea
J01ED	Long-acting sulfonamides
J01ED01	Sulfadimethoxine
J01ED03	Sulfametomidine
J01ED04	Sulfametoxydiazine
J01ED05	Sulfamethoxypyridazine
J01ED06	Sulfaperin
J01ED07	Sulfamerazine
J01ED09	Sulfamazone
J01EE	Combinations of sulfonamides and trimethoprim, incl. derivatives
J01EE04	Sulfamoxole and trimethoprim
J01EE06	Sulfadiazine and tetroxoprim
J01F	Macrolides, lincosamides and streptogramins
J01FA	Macrolides
J01FA01	Erythromycin
J01FA03	Midecamycin
J01FA06	Roxithromycin
J01FA07	Josamycin
J01FA08	Troleandomycin
J01FA11	Miocamycin
J01FA12	Rokitamycin
J01FA13	Dirithromycin
J01FA14	Flurithromycin
J01FA15	Telithromycin
J01FA16	Solithromycin
J01FF	Lincosamides
J01FF02	Lincomycin
J01FG	Streptogramins
J01FG01	Pristinamycin
J01G	Aminoglycoside antibacterials
J01GB	Other aminoglycosides
J01GB08	Sisomicin
J01GB09	Dibekacin
J01GB10	Ribostamycin
J01GB11	Isepamicin
J01GB12	Arbekacin
J01GB13	Bekanamycin
J01M	Quinolone antibacterials
J01MA	Fluoroquinolones
J01MA01	Ofloxacin
J01MA03	Pefloxacin
J01MA04	Enoxacin
J01MA05	Temafloxacin
J01MA08	Fleroxacin
J01MA09	Sparfloxacin
J01MA10	Rufloxacin
J01MA11	Grepafloxacin
J01MA12	Levofloxacin
J01MA13	Trovafloxacin
J01MA15	Gemifloxacin
J01MA17	Prulifloxacin
J01MA18	Pazufloxacin
J01MA19	Garenoxacin
J01MA21	Sitafloxacin
J01MA23	Delafloxacin
J01MB	Other quinolones
J01MB01	Rosoxacin
J01MB02	Nalidixic acid
J01MB03	Piromidic acid
J01MB04	Pipemidic acid
J01MB05	Oxolinic acid
J01MB06	Cinoxacin
J01MB07	Flumequine
J01MB08	Nemonoxacin
J01R	Combinations of antibacterials
J01RA	Combinations of antibacterials
J01RA04	Spiramycin and metronidazole
J01RA07	Azithromycin, fluconazole and secnidazole
J01RA08	Tetracycline and oleandomycin
J01RA11	Ciprofloxacin and tinidazole
J01RA13	Norfloxacin and tinidazole
J01X	Other antibacterials
J01XA	Glycopeptide antibacterials
J01XA01	Vancomycin
J01XA02	Teicoplanin
J01XA03	Telavancin
J01XA04	Dalbavancin
J01XA05	Oritavancin
J01XB	Polymyxins
J01XB01	Colistin
J01XE	Nitrofuran derivatives
J01XE01	Nitrofurantoin
J01XE02	Nifurtoinol
J01XE03	Furazidin
J01XX	Other antibacterials
J01XX01	Fosfomycin
J01XX02	Xibornol
J01XX03	Clofoctol
J01XX04	Spectinomycin
J01XX05	Methenamine
J01XX07	Nitroxoline
J01XX08	Linezolid
J01XX09	Daptomycin
J01XX10	Bacitracin
J01XX11	Tedizolid
J02	Antimycotics for systemic use
J02A	Antimycotics for systemic use
J02AA	Antibiotics
J02AA02	Hachimycin
J02AC	Triazole derivatives
J02AC02	Itraconazole
J02AC03	Voriconazole
J02AC04	Posaconazole
J02AC05	Isavuconazole
J02AX	Other antimycotics for systemic use
J02AX01	Flucytosine
J02AX04	Caspofungin
J02AX05	Micafungin
J02AX06	Anidulafungin
J04	Antimycobacterials
J04A	Drugs for treatment of tuberculosis
J04AA	Aminosalicylic acid and derivatives
J04AA02	Sodium aminosalicylate
J04AB	Antibiotics
J04AB01	Cycloserine
J04AB04	Rifabutin
J04AB05	Rifapentine
J04AB30	Capreomycin
J04AD	Thiocarbamide derivatives
J04AD01	Protionamide
J04AD02	Tiocarlide
J04AD03	Ethionamide
J04AK	Other drugs for treatment of tuberculosis
J04AK01	Pyrazinamide
J04AK02	Ethambutol
J04AK03	Terizidone
J04AK04	Morinamide
J04AK05	Bedaquiline
J04AK06	Delamanid
J04AM	Combinations of drugs for treatment of tuberculosis
J04AM01	Streptomycin and isoniazid
J04AM02	Rifampicin and isoniazid
J04AM04	Thioacetazone and isoniazid
J04AM08	Isoniazid, sulfamethoxazole, trimethoprim and pyridoxine
J04B	Drugs for treatment of lepra
J04BA	Drugs for treatment of lepra
J04BA01	Clofazimine
J04BA03	Aldesulfone sodium
J05	Antivirals for systemic use
J05A	Direct acting antivirals
J05AA	Thiosemicarbazones
J05AA01	Metisazone
J05AB	Nucleosides and nucleotides excl. reverse transcriptase inhibitors
J05AB01	Aciclovir
J05AB02	Idoxuridine
J05AB03	Vidarabine
J05AB06	Ganciclovir
J05AB09	Famciclovir
J05AB11	Valaciclovir
J05AB12	Cidofovir
J05AB14	Valganciclovir
J05AB15	Brivudine
J05AC	Cyclic amines
J05AC02	Rimantadine
J05AC03	Tromantadine
J05AD	Phosphonic acid derivatives
J05AD01	Foscarnet
J05AE	Protease inhibitors
J05AE01	Saquinavir
J05AE02	Indinavir
J05AE04	Nelfinavir
J05AE05	Amprenavir
J05AE07	Fosamprenavir
J05AE08	Atazanavir
J05AE09	Tipranavir
J05AF	Nucleoside and nucleotide reverse transcriptase inhibitors
J05AF02	Didanosine
J05AF03	Zalcitabine
J05AF04	Stavudine
J05AF08	Adefovir dipivoxil
J05AF10	Entecavir
J05AF11	Telbivudine
J05AF12	Clevudine
J05AG	Non-nucleoside reverse transcriptase inhibitors
J05AG01	Nevirapine
J05AG02	Delavirdine
J05AG04	Etravirine
J05AH	Neuraminidase inhibitors
J05AH01	Zanamivir
J05AH02	Oseltamivir
J05AH03	Peramivir
J05AP	Antivirals for treatment of hcv infections
J05AP01	Ribavirin
J05AP02	Telaprevir
J05AP03	Boceprevir
J05AP04	Faldaprevir
J05AP06	Asunaprevir
J05AP07	Daclatasvir
J05AP08	Sofosbuvir
J05AP09	Dasabuvir
J05AP51	Sofosbuvir and ledipasvir
J05AP53	Ombitasvir, paritaprevir and ritonavir
J05AP54	Elbasvir and grazoprevir
J05AP55	Sofosbuvir and velpatasvir
J05AP56	Sofosbuvir, velpatasvir and voxilaprevir
J05AP57	Glecaprevir and pibrentasvir
J05AR	Antivirals for treatment of hiv infections, combinations
J05AR02	Lamivudine and abacavir
J05AR04	Zidovudine, lamivudine and abacavir
J05AR06	Emtricitabine, tenofovir disoproxil and efavirenz
J05AR09	Emtricitabine, tenofovir disoproxil, elvitegravir and cobicistat
J05AR10	Lopinavir and ritonavir
J05AR13	Lamivudine, abacavir and dolutegravir
J05AR14	Darunavir and cobicistat
J05AR16	Lamivudine and raltegravir
J05AR19	Emtricitabine, tenofovir alafenamide and rilpivirine
J05AR20	Emtricitabine, tenofovir alafenamide and bictegravir
J05AR24	Lamivudine, tenofovir disoproxil and doravirine
J05AX	Other antivirals
J05AX01	Moroxydine
J05AX02	Lysozyme
J05AX05	Inosine pranobex
J05AX06	Pleconaril
J05AX07	Enfuvirtide
J05AX09	Maraviroc
J05AX10	Maribavir
J05AX13	Umifenovir
J05AX18	Letermovir
J05AX23	Ibalizumab
J06	Immune sera and immunoglobulins
J06A	Immune sera
J06AA	Immune sera
J06AA06	Rabies serum
J06B	Immunoglobulins
J06BB	Specific immunoglobulins
J06BB02	Tetanus immunoglobulin
J06BB09	Cytomegalovirus immunoglobulin
J06BB16	Palivizumab
J06BB17	Motavizumab
J06BB18	Raxibacumab
J06BB21	Bezlotoxumab
J06BB22	Obiltoxaximab
J06BC	Other immunoglobulins
J06BC01	Nebacumab
J07	Vaccines
J07A	Bacterial vaccines
J07AF	Diphtheria vaccines
J07AF01	Diphtheria toxoid
J07AM	Tetanus vaccines
J07AM51	Tetanus toxoid, combinations with diphtheria toxoid
J07B	Viral vaccines
J07BH	Rota virus diarrhea vaccines
J07BH01	Rota virus, live attenuated
J07BJ	Rubella vaccines
J07BJ01	Rubella, live attenuated
J07BL	Yellow fever vaccines
J07BL01	Yellow fever, live attenuated
L	Antineoplastic and immunomodulating agents
L01	Antineoplastic agents
L01A	Alkylating agents
L01AA	Nitrogen mustard analogues
L01AA01	Cyclophosphamide
L01AA02	Chlorambucil
L01AA03	Melphalan
L01AA05	Chlormethine
L01AA06	Ifosfamide
L01AA07	Trofosfamide
L01AA08	Prednimustine
L01AA09	Bendamustine
L01AB	Alkyl sulfonates
L01AB01	Busulfan
L01AB02	Treosulfan
L01AB03	Mannosulfan
L01AC	Ethylene imines
L01AC01	Thiotepa
L01AC02	Triaziquone
L01AC03	Carboquone
L01AD	Nitrosoureas
L01AD01	Carmustine
L01AD02	Lomustine
L01AD03	Semustine
L01AD04	Streptozocin
L01AD05	Fotemustine
L01AD06	Nimustine
L01AD07	Ranimustine
L01AD08	Uramustine
L01AG	Epoxides
L01AG01	Etoglucid
L01AX	Other alkylating agents
L01AX01	Mitobronitol
L01AX02	Pipobroman
L01AX03	Temozolomide
L01AX04	Dacarbazine
L01B	Antimetabolites
L01BA	Folic acid analogues
L01BA03	Raltitrexed
L01BA04	Pemetrexed
L01BA05	Pralatrexate
L01BB	Purine analogues
L01BB02	Mercaptopurine
L01BB03	Tioguanine
L01BB05	Fludarabine
L01BB06	Clofarabine
L01BB07	Nelarabine
L01BC	Pyrimidine analogues
L01BC01	Cytarabine
L01BC03	Tegafur
L01BC04	Carmofur
L01BC05	Gemcitabine
L01BC06	Capecitabine
L01BC07	Azacitidine
L01BC08	Decitabine
L01BC09	Floxuridine
L01BC52	Fluorouracil, combinations
L01BC59	Trifluridine, combinations
L01C	Plant alkaloids and other natural products
L01CA	Vinca alkaloids and analogues
L01CA01	Vinblastine
L01CA02	Vincristine
L01CA03	Vindesine
L01CA04	Vinorelbine
L01CA05	Vinflunine
L01CA06	Vintafolide
L01CB	Podophyllotoxin derivatives
L01CB01	Etoposide
L01CB02	Teniposide
L01CC	Colchicine derivatives
L01CC01	Demecolcine
L01CD	Taxanes
L01CD01	Paclitaxel
L01CD02	Docetaxel
L01CD03	Paclitaxel poliglumex
L01CD04	Cabazitaxel
L01CX	Other plant alkaloids and natural products
L01CX01	Trabectedin
L01D	Cytotoxic antibiotics and related substances
L01DA	Actinomycines
L01DA01	Dactinomycin
L01DB	Anthracyclines and related substances
L01DB01	Doxorubicin
L01DB02	Daunorubicin
L01DB03	Epirubicin
L01DB04	Aclarubicin
L01DB05	Zorubicin
L01DB06	Idarubicin
L01DB07	Mitoxantrone
L01DB08	Pirarubicin
L01DB09	Valrubicin
L01DB10	Amrubicin
L01DB11	Pixantrone
L01DC	Other cytotoxic antibiotics
L01DC01	Bleomycin
L01DC02	Plicamycin
L01DC03	Mitomycin
L01DC04	Ixabepilone
L01X	Other antineoplastic agents
L01XA	Platinum compounds
L01XA01	Cisplatin
L01XA02	Carboplatin
L01XA03	Oxaliplatin
L01XA04	Satraplatin
L01XB	Methylhydrazines
L01XB01	Procarbazine
L01XC	Monoclonal antibodies
L01XC01	Edrecolomab
L01XC02	Rituximab
L01XC03	Trastuzumab
L01XC05	Gemtuzumab ozogamicin
L01XC06	Cetuximab
L01XC07	Bevacizumab
L01XC08	Panitumumab
L01XC09	Catumaxomab
L01XC10	Ofatumumab
L01XC11	Ipilimumab
L01XC12	Brentuximab vedotin
L01XC13	Pertuzumab
L01XC14	Trastuzumab emtansine
L01XC15	Obinutuzumab
L01XC16	Dinutuximab beta
L01XC17	Nivolumab
L01XC18	Pembrolizumab
L01XC19	Blinatumomab
L01XC21	Ramucirumab
L01XC22	Necitumumab
L01XC23	Elotuzumab
L01XC24	Daratumumab
L01XC25	Mogamulizumab
L01XC26	Inotuzumab ozogamicin
L01XC27	Olaratumab
L01XC28	Durvalumab
L01XC29	Bermekimab
L01XC31	Avelumab
L01XC32	Atezolizumab
L01XD	Sensitizers used in photodynamic/radiation therapy
L01XD01	Porfimer sodium
L01XD03	Methyl aminolevulinate
L01XD04	Aminolevulinic acid
L01XD05	Temoporfin
L01XD06	Efaproxiral
L01XD07	Padeliporfin
L01XX	Other antineoplastic agents
L01XX01	Amsacrine
L01XX02	Asparaginase
L01XX03	Altretamine
L01XX05	Hydroxycarbamide
L01XX07	Lonidamine
L01XX08	Pentostatin
L01XX10	Masoprocol
L01XX11	Estramustine
L01XX16	Mitoguazone
L01XX18	Tiazofurine
L01XX23	Mitotane
L01XX24	Pegaspargase
L01XX27	Arsenic trioxide
L01XX29	Denileukin diftitox
L01XX35	Anagrelide
L01XX36	Oblimersen
L01XX37	Sitimagene ceradenovec
L01XX40	Omacetaxine mepesuccinate
L01XX41	Eribulin
L01XX51	Talimogene laherparepvec
L01XX52	Venetoclax
L01XX53	Vosaroxin
L01XX57	Plitidepsin
L01XX58	Epacadostat
L01XX59	Enasidenib
L02	Endocrine therapy
L02A	Hormones and related agents
L02AA	Estrogens
L02AA02	Polyestradiol phosphate
L02AA04	Fosfestrol
L02AB	Progestogens
L02AB03	Gestonorone
L02AE	Gonadotropin releasing hormone analogues
L02AE01	Buserelin
L02AE03	Goserelin
L02AE04	Triptorelin
L02AE05	Histrelin
L02AE51	Leuprorelin and bicalutamide
L02B	Hormone antagonists and related agents
L02BA	Anti-estrogens
L02BA01	Tamoxifen
L02BA02	Toremifene
L02BA03	Fulvestrant
L02BB	Anti-androgens
L02BB01	Flutamide
L02BB02	Nilutamide
L02BB03	Bicalutamide
L02BB04	Enzalutamide
L02BB05	Apalutamide
L02BG	Aromatase inhibitors
L02BG01	Aminoglutethimide
L02BG02	Formestane
L02BG03	Anastrozole
L02BG04	Letrozole
L02BG05	Vorozole
L02BG06	Exemestane
L02BX	Other hormone antagonists and related agents
L02BX01	Abarelix
L02BX02	Degarelix
L02BX03	Abiraterone
L03	Immunostimulants
L03A	Immunostimulants
L03AA	Colony stimulating factors
L03AA02	Filgrastim
L03AA03	Molgramostim
L03AA09	Sargramostim
L03AA10	Lenograstim
L03AA12	Ancestim
L03AA13	Pegfilgrastim
L03AA14	Lipegfilgrastim
L03AA15	Balugrastim
L03AA17	Pegteograstim
L03AB	Interferons
L03AB04	Interferon alfa-2a
L03AB05	Interferon alfa-2b
L03AB06	Interferon alfa-n1
L03AB07	Interferon beta-1a
L03AB08	Interferon beta-1b
L03AB09	Interferon alfacon-1
L03AB10	Peginterferon alfa-2b
L03AB11	Peginterferon alfa-2a
L03AB12	Albinterferon alfa-2b
L03AB13	Peginterferon beta-1a
L03AB14	Cepeginterferon alfa-2b
L03AB15	Ropeginterferon alfa-2b
L03AC	Interleukins
L03AC01	Aldesleukin
L03AC02	Oprelvekin
L03AX	Other immunostimulants
L03AX01	Lentinan
L03AX02	Roquinimex
L03AX03	Bcg vaccine
L03AX04	Pegademase
L03AX05	Pidotimod
L03AX09	Thymopentin
L03AX11	Tasonermin
L03AX13	Glatiramer acetate
L03AX14	Histamine dihydrochloride
L03AX15	Mifamurtide
L03AX16	Plerixafor
L03AX17	Sipuleucel-t
L03AX18	Cridanimod
L04	Immunosuppressants
L04A	Immunosuppressants
L04AA	Selective immunosuppressants
L04AA02	Muromonab-cd3
L04AA03	Antilymphocyte immunoglobulin (horse)
L04AA04	Antithymocyte immunoglobulin (rabbit)
L04AA06	Mycophenolic acid
L04AA13	Leflunomide
L04AA15	Alefacept
L04AA19	Gusperimus
L04AA21	Efalizumab
L04AA22	Abetimus
L04AA23	Natalizumab
L04AA24	Abatacept
L04AA25	Eculizumab
L04AA26	Belimumab
L04AA27	Fingolimod
L04AA28	Belatacept
L04AA29	Tofacitinib
L04AA31	Teriflunomide
L04AA32	Apremilast
L04AA33	Vedolizumab
L04AA34	Alemtuzumab
L04AA35	Begelomab
L04AA36	Ocrelizumab
L04AA37	Baricitinib
L04AA38	Ozanimod
L04AA39	Emapalumab
L04AA40	Cladribine
L04AB	Tumor necrosis factor alpha (tnf-alpha) inhibitors
L04AB01	Etanercept
L04AB02	Infliximab
L04AB03	Afelimomab
L04AB04	Adalimumab
L04AB05	Certolizumab pegol
L04AB06	Golimumab
L04AC	Interleukin inhibitors
L04AC01	Daclizumab
L04AC02	Basiliximab
L04AC03	Anakinra
L04AC04	Rilonacept
L04AC05	Ustekinumab
L04AC07	Tocilizumab
L04AC08	Canakinumab
L04AC09	Briakinumab
L04AC10	Secukinumab
L04AC11	Siltuximab
L04AC12	Brodalumab
L04AC13	Ixekizumab
L04AC14	Sarilumab
L04AC15	Sirukumab
L04AC16	Guselkumab
L04AC17	Tildrakizumab
L04AD	Calcineurin inhibitors
L04AD01	Ciclosporin
L04AD03	Voclosporin
L04AX	Other immunosuppressants
L04AX01	Azathioprine
L04AX02	Thalidomide
L04AX03	Methotrexate
L04AX04	Lenalidomide
L04AX05	Pirfenidone
L04AX06	Pomalidomide
L04AX07	Dimethyl fumarate
M	Musculo-skeletal system
M01	Antiinflammatory and antirheumatic products
M01A	Antiinflammatory and antirheumatic products, non-steroids
M01AA	Butylpyrazolidines
M01AA02	Mofebutazone
M01AA03	Oxyphenbutazone
M01AA06	Kebuzone
M01AB	Acetic acid derivatives and related substances
M01AB02	Sulindac
M01AB03	Tolmetin
M01AB04	Zomepirac
M01AB06	Alclofenac
M01AB07	Bumadizone
M01AB08	Etodolac
M01AB09	Lonazolac
M01AB10	Fentiazac
M01AB11	Acemetacin
M01AB12	Difenpiramide
M01AB13	Oxametacin
M01AB14	Proglumetacin
M01AB15	Ketorolac
M01AB16	Aceclofenac
M01AB17	Bufexamac
M01AC	Oxicams
M01AC01	Piroxicam
M01AC02	Tenoxicam
M01AC04	Droxicam
M01AC05	Lornoxicam
M01AC56	Meloxicam, combinations
M01AE	Propionic acid derivatives
M01AE03	Ketoprofen
M01AE04	Fenoprofen
M01AE05	Fenbufen
M01AE06	Benoxaprofen
M01AE07	Suprofen
M01AE08	Pirprofen
M01AE10	Indoprofen
M01AE11	Tiaprofenic acid
M01AE12	Oxaprozin
M01AE13	Ibuproxam
M01AE14	Dexibuprofen
M01AE15	Flunoxaprofen
M01AE16	Alminoprofen
M01AE18	Naproxcinod
M01AG	Fenamates
M01AG01	Mefenamic acid
M01AG02	Tolfenamic acid
M01AG03	Flufenamic acid
M01AG04	Meclofenamic acid
M01AH	Coxibs
M01AH01	Celecoxib
M01AH02	Rofecoxib
M01AH03	Valdecoxib
M01AH04	Parecoxib
M01AH05	Etoricoxib
M01AH06	Lumiracoxib
M01AH07	Polmacoxib
M01AX	Other antiinflammatory and antirheumatic agents, non-steroids
M01AX01	Nabumetone
M01AX04	Azapropazone
M01AX05	Glucosamine
M01AX13	Proquazone
M01AX18	Feprazone
M01AX21	Diacerein
M01AX22	Morniflumate
M01AX23	Tenidap
M01AX24	Oxaceprol
M01AX25	Chondroitin sulfate
M01B	Antiinflammatory/antirheumatic agents in combination
M01BA	Antiinflammatory/antirheumatic agents in combination with corticosteroids
M01BA01	Phenylbutazone and corticosteroids
M01C	Specific antirheumatic agents
M01CA	Quinolines
M01CA03	Oxycinchophen
M01CB	Gold preparations
M01CB01	Sodium aurothiomalate
M01CB02	Sodium aurotiosulfate
M01CB03	Auranofin
M01CB04	Aurothioglucose
M01CB05	Aurotioprol
M01CC	Penicillamine and similar agents
M01CC01	Penicillamine
M01CC02	Bucillamine
M02	Topical products for joint and muscular pain
M02A	Topical products for joint and muscular pain
M02AA	Antiinflammatory preparations, non-steroids for topical use
M02AA06	Etofenamate
M02AA08	Felbinac
M02AA11	Bendazac
M02AA17	Niflumic acid
M02AA19	Flurbiprofen
M02AA22	Suxibuzone
M02AA24	Nifenazone
M02AA26	Nimesulide
M02AA27	Dexketoprofen
M02AB	Capsaicin and similar agents
M02AB01	Capsaicin
M02AB02	Zucapsaicin
M02AX	Other topical products for joint and muscular pain
M02AX02	Tolazoline
M02AX03	Dimethyl sulfoxide
M02AX05	Idrocilamide
M03	Muscle relaxants
M03A	Muscle relaxants, peripherally acting agents
M03AA	Curare alkaloids
M03AA01	Alcuronium
M03AA02	Tubocurarine
M03AB	Choline derivatives
M03AB01	Suxamethonium
M03AC	Other quaternary ammonium compounds
M03AC01	Pancuronium
M03AC02	Gallamine
M03AC03	Vecuronium
M03AC04	Atracurium
M03AC05	Hexafluronium
M03AC06	Pipecuronium bromide
M03AC07	Doxacurium chloride
M03AC08	Fazadinium bromide
M03AC09	Rocuronium bromide
M03AC10	Mivacurium chloride
M03AC11	Cisatracurium
M03AX	Other muscle relaxants, peripherally acting agents
M03AX01	Botulinum toxin
M03B	Muscle relaxants, centrally acting agents
M03BA	Carbamic acid esters
M03BA02	Carisoprodol
M03BA04	Styramate
M03BA05	Febarbamate
M03BA71	Phenprobamate, combinations with psycholeptics
M03BA73	Methocarbamol, combinations with psycholeptics
M03BB	Oxazol, thiazine, and triazine derivatives
M03BB02	Chlormezanone
M03BB03	Chlorzoxazone
M03BC	Ethers, chemically close to antihistamines
M03BC51	Orphenadrine, combinations
M03BX	Other centrally acting agents
M03BX01	Baclofen
M03BX02	Tizanidine
M03BX03	Pridinol
M03BX04	Tolperisone
M03BX05	Thiocolchicoside
M03BX06	Mephenesin
M03BX07	Tetrazepam
M03BX08	Cyclobenzaprine
M03BX09	Eperisone
M03BX30	Fenyramidol
M03C	Muscle relaxants, directly acting agents
M03CA	Dantrolene and derivatives
M03CA01	Dantrolene
M04	Antigout preparations
M04A	Antigout preparations
M04AA	Preparations inhibiting uric acid production
M04AA01	Allopurinol
M04AA02	Tisopurine
M04AA03	Febuxostat
M04AB	Preparations increasing uric acid excretion
M04AB01	Probenecid
M04AB02	Sulfinpyrazone
M04AB03	Benzbromarone
M04AB04	Isobromindione
M04AB05	Lesinurad
M04AC	Preparations with no effect on uric acid metabolism
M04AC01	Colchicine
M04AC02	Cinchophen
M04AX	Other antigout preparations
M04AX02	Pegloticase
M05	Drugs for treatment of bone diseases
M05B	Drugs affecting bone structure and mineralization
M05BA	Bisphosphonates
M05BA02	Clodronic acid
M05BA03	Pamidronic acid
M05BA05	Tiludronic acid
M05BA06	Ibandronic acid
M05BB	Bisphosphonates, combinations
M05BB01	Etidronic acid and calcium, sequential
M05BB03	Alendronic acid and colecalciferol
M05BB07	Risedronic acid and colecalciferol
M05BB08	Zoledronic acid, calcium and colecalciferol, sequential
M05BB09	Ibandronic acid and colecalciferol
M05BC	Bone morphogenetic proteins
M05BC01	Dibotermin alfa
M05BC02	Eptotermin alfa
M05BX	Other drugs affecting bone structure and mineralization
M05BX01	Ipriflavone
M05BX03	Strontium ranelate
M05BX04	Denosumab
M05BX05	Burosumab
M05BX06	Romosozumab
M09	Other drugs for disorders of the musculo-skeletal system
M09A	Other drugs for disorders of the musculo-skeletal system
M09AA	Quinine and derivatives
M09AA01	Hydroquinine
M09AA72	Quinine, combinations with psycholeptics
M09AB	Enzymes
M09AB01	Chymopapain
M09AX	Other drugs for disorders of the musculo-skeletal system
M09AX03	Ataluren
M09AX04	Drisapersen
M09AX05	Aceneuramic acid
M09AX06	Eteplirsen
M09AX07	Nusinersen
N	Nervous system
N01	Anesthetics
N01A	Anesthetics, general
N01AA	Ethers
N01AA01	Diethyl ether
N01AA02	Vinyl ether
N01AB	Halogenated hydrocarbons
N01AB01	Halothane
N01AB02	Chloroform
N01AB04	Enflurane
N01AB05	Trichloroethylene
N01AB06	Isoflurane
N01AB07	Desflurane
N01AB08	Sevoflurane
N01AF	Barbiturates, plain
N01AF02	Hexobarbital
N01AF03	Thiopental
N01AG	Barbiturates in combination with other drugs
N01AG01	Narcobarbital
N01AH	Opioid anesthetics
N01AH01	Fentanyl
N01AH02	Alfentanil
N01AH03	Sufentanil
N01AH04	Phenoperidine
N01AH05	Anileridine
N01AH06	Remifentanil
N01AX	Other general anesthetics
N01AX03	Ketamine
N01AX04	Propanidid
N01AX05	Alfaxalone
N01AX07	Etomidate
N01AX10	Propofol
N01AX11	Sodium oxybate
N01AX13	Nitrous oxide
N01AX14	Esketamine
N01AX15	Xenon
N01B	Anesthetics, local
N01BA	Esters of aminobenzoic acid
N01BA01	Metabutethamine
N01BA04	Chloroprocaine
N01BA52	Procaine, combinations
N01BB	Amides
N01BB01	Bupivacaine
N01BB05	Butanilicaine
N01BB07	Etidocaine
N01BB09	Ropivacaine
N01BB10	Levobupivacaine
N01BB53	Mepivacaine, combinations
N01BB54	Prilocaine, combinations
N01BB58	Articaine, combinations
N01BX	Other local anesthetics
N01BX01	Ethyl chloride
N01BX02	Dyclonine
N02	Analgesics
N02A	Opioids
N02AA	Natural opium alkaloids
N02AA04	Nicomorphine
N02AA53	Hydromorphone and naloxone
N02AA56	Oxycodone and naltrexone
N02AA58	Dihydrocodeine, combinations
N02AA79	Codeine, combinations with psycholeptics
N02AB	Phenylpiperidine derivatives
N02AB01	Ketobemidone
N02AB02	Pethidine
N02AC	Diphenylpropylamine derivatives
N02AC01	Dextromoramide
N02AC03	Piritramide
N02AC04	Dextropropoxyphene
N02AC05	Bezitramide
N02AD	Benzomorphan derivatives
N02AD01	Pentazocine
N02AD02	Phenazocine
N02AF	Morphinan derivatives
N02AF01	Butorphanol
N02AF02	Nalbuphine
N02AJ	Opioids in combination with non-opioid analgesics
N02AJ13	Tramadol and paracetamol
N02AX	Other opioids
N02AX01	Tilidine
N02AX03	Dezocine
N02AX05	Meptazinol
N02AX06	Tapentadol
N02B	Other analgesics and antipyretics
N02BA	Salicylic acid and derivatives
N02BA02	Aloxiprin
N02BA03	Choline salicylate
N02BA06	Salsalate
N02BA07	Ethenzamide
N02BA08	Morpholine salicylate
N02BA09	Dipyrocetyl
N02BA10	Benorilate
N02BA11	Diflunisal
N02BA14	Guacetisal
N02BA15	Carbasalate calcium
N02BA16	Imidazole salicylate
N02BA75	Salicylamide, combinations with psycholeptics
N02BB	Pyrazolones
N02BB51	Phenazone, combinations excl. psycholeptics
N02BB53	Aminophenazone, combinations excl. psycholeptics
N02BB72	Metamizole sodium, combinations with psycholeptics
N02BB74	Propyphenazone, combinations with psycholeptics
N02BE	Anilides
N02BE04	Bucetin
N02BE05	Propacetamol
N02BE71	Paracetamol, combinations with psycholeptics
N02BE73	Phenacetin, combinations with psycholeptics
N02BG	Other analgesics and antipyretics
N02BG02	Rimazolium
N02BG04	Floctafenine
N02BG05	Viminol
N02BG06	Nefopam
N02BG07	Flupirtine
N02BG08	Ziconotide
N02BG09	Methoxyflurane
N02C	Antimigraine preparations
N02CA	Ergot alkaloids
N02CA02	Ergotamine
N02CA04	Methysergide
N02CA51	Dihydroergotamine, combinations
N02CB	Corticosteroid derivatives
N02CB01	Flumedroxone
N02CC	Selective serotonin (5ht1) agonists
N02CC01	Sumatriptan
N02CC02	Naratriptan
N02CC03	Zolmitriptan
N02CC04	Rizatriptan
N02CC05	Almotriptan
N02CC06	Eletriptan
N02CC07	Frovatriptan
N02CX	Other antimigraine preparations
N02CX01	Pizotifen
N02CX03	Iprazochrome
N02CX05	Dimetotiazine
N02CX06	Oxetorone
N03	Antiepileptics
N03A	Antiepileptics
N03AA	Barbiturates and derivatives
N03AA01	Methylphenobarbital
N03AA04	Barbexaclone
N03AA30	Metharbital
N03AB	Hydantoin derivatives
N03AB01	Ethotoin
N03AB02	Phenytoin
N03AB03	Amino(diphenylhydantoin) valeric acid
N03AB04	Mephenytoin
N03AB05	Fosphenytoin
N03AC	Oxazolidine derivatives
N03AC01	Paramethadione
N03AC02	Trimethadione
N03AC03	Ethadione
